Kabupaten/Kota;Produksi Daging Sapi;Produksi Beras;Produksi Telur Unggas - Ayam Buras(kg) (Kg);Produksi Padi
Bogor;11868348,83;163581;3903491,1;283267
Sukabumi;3074961,77;295897;3612837,49;512392
Cianjur;2200775,9;375434;11043196;650123
Bandung;11694938,31;173327;3486822,39;300143
Garut;765562,65;262054;3315378,46;453788
Tasikmalaya;3414637,36;226015;5195942,66;391380
Ciamis;2204272,13;172739;3325178,01;299124
Kuningan;4239005,47;150736;1217203,68;261023
Cirebon;4375096,5;286361;2972441,26;495878
Majalengka;3025770,59;322483;2844163,4;558430
Sumedang;1947347,04;165802;1228287,96;287113
Indramayu;2409256,18;822510;4435492;1424303
Subang;2173743,54;593455;3697406,63;1027660
Purwakarta;1599342,66;107720;2714023,87;186533
Karawang;3596138,85;653696;1198786,35;1131977
Bekasi;2787808,28;287205;891976,03;497339
Bandung Barat;7206141,36;82703;752703,97;143213
Pangandaran;1002460,66;80443;719847,9;139300
Kota Bogor;3120931,83;71;172104,53;124
Kota Sukabumi;898260,26;9348;3296,55;16187
Kota Bandung;5897132,57;3653;45808,46;6326
Kota Cirebon;478547,19;444;29930,57;769
Kota Bekasi;4288423,44;760;236135,15;1316
Kota Depok;7372869,28;18;47185;31
Kota Cimahi;697322,03;254;24761,62;440
Kota Tasikmalaya;3993201,28;23081;1568471,25;39969
Kota Banjar;894838,54;18417;64836,81;31892
