domicil;tporgwk;;;;Domisili;Tempat bekerja;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;Count of Tempat bekerja;Column Labels;;;;;
4;4;;;;Country village;A private firm;;;;;Row Labels;A private firm;A state owned enterprise;Central or local government;Other public sector (such as education and health);Self employed;Grand Total
4;4;;;;Country village;A private firm;;;;;Big city;3187;366;424;700;538;5215
4;Big City;;;;Country village;Central or local government;;;;;Country village;5693;730;859;1071;980;9333
4;2;;;;Country village;Other public sector (such as education and health);;;;;Farm or home in countryside;755;67;131;241;265;1459
Big City;4;;;;Big city;A private firm;;;;;Suburbs or outskirts of big city;1902;212;324;511;250;3199
3;4;;;;Town or small city;A private firm;;;;;Town or small city;4657;639;774;1158;689;7917
5;5;;;;Farm or home in countryside;Self employed;;;;;Grand Total;16194;2014;2512;3681;2722;27123
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
2;4;;;;Suburbs or outskirts of big city;A private firm;;;;;;;;;;;
5;4;;;;Farm or home in countryside;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
2;4;;;;Suburbs or outskirts of big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;5;;;;Town or small city;Self employed;;;;;;;;;;;
Big City;5;;;;Big city;Self employed;;;;;;;;;;;
4;Big City;;;;Country village;Central or local government;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;3;;;;Big city;A state owned enterprise;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;5;;;;Town or small city;Self employed;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
Big City;Big City;;;;Big city;Central or local government;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
3;5;;;;Town or small city;Self employed;;;;;;;;;;;
4;Big City;;;;Country village;Central or local government;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
2;4;;;;Suburbs or outskirts of big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
2;Big City;;;;Suburbs or outskirts of big city;Central or local government;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
5;5;;;;Farm or home in countryside;Self employed;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
2;2;;;;Suburbs or outskirts of big city;Other public sector (such as education and health);;;;;;;;;;;
4;Big City;;;;Country village;Central or local government;;;;;;;;;;;
2;4;;;;Suburbs or outskirts of big city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
5;Big City;;;;Farm or home in countryside;Central or local government;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
Big City;3;;;;Big city;A state owned enterprise;;;;;;;;;;;
4;Big City;;;;Country village;Central or local government;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
2;3;;;;Suburbs or outskirts of big city;A state owned enterprise;;;;;;;;;;;
Big City;2;;;;Big city;Other public sector (such as education and health);;;;;;;;;;;
4;3;;;;Country village;A state owned enterprise;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
5;4;;;;Farm or home in countryside;A private firm;;;;;;;;;;;
2;3;;;;Suburbs or outskirts of big city;A state owned enterprise;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
4;4;;;;Country village;A private firm;;;;;;;;;;;
3;Big City;;;;Town or small city;Central or local government;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
3;4;;;;Town or small city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
Big City;4;;;;Big city;A private firm;;;;;;;;;;;
Big City;2;;;;Big city;Other public sector (such as education and health);;;;;;;;;;;
4;2;;;;Country village;Other public sector (such as education and health);;;;;;;;;;;
Big City;2;;;;Big city;Other public sector (such as education and health);;;;;;;;;;;
